"account.length","area.code","international.plan","voice.mail.plan","number.vmail.messages","total.day.minutes","total.day.calls","total.eve.minutes","total.eve.calls","total.night.minutes","total.night.calls","total.intl.minutes","total.intl.calls","number.customer.service.calls","Status","avg.minute.day","avg.minute.eve","avg.minute.night","avg.minute.intl"
83,415,"yes","yes",32,94.7,111,154.4,98,200.4,109,10.6,6,2,"False",0.853153153153153,1.57551020408163,1.83853211009174,1.76666666666667
82,415,"no","no",0,197.7,101,127.6,83,142.1,103,13.5,3,1,"False",1.95742574257426,1.53734939759036,1.37961165048544,4.5
55,415,"yes","no",0,269.6,121,171.7,91,219,98,8.2,6,1,"False",2.22809917355372,1.88681318681319,2.23469387755102,1.36666666666667
102,408,"no","no",0,156.5,67,204.3,103,141.9,72,9.9,2,2,"False",2.33582089552239,1.98349514563107,1.97083333333333,4.95
69,415,"no","no",0,167.5,76,242.1,92,101.2,103,11.4,4,2,"False",2.20394736842105,2.63152173913043,0.98252427184466,2.85
108,510,"no","no",0,187.4,101,199.9,126,216.1,107,12.6,8,1,"False",1.85544554455446,1.58650793650794,2.0196261682243,1.575
76,408,"no","yes",26,214.6,110,205.2,87,134.6,140,8.1,2,1,"False",1.95090909090909,2.35862068965517,0.961428571428571,4.05
61,415,"no","yes",33,270.7,53,200.7,116,201.7,102,10.9,3,3,"False",5.10754716981132,1.7301724137931,1.97745098039216,3.63333333333333
89,415,"no","yes",29,163.5,80,274.8,136,381.9,147,7.5,5,2,"False",2.04375,2.02058823529412,2.59795918367347,1.5
43,510,"no","yes",26,141.5,94,196.4,123,172.4,100,12.9,1,3,"False",1.50531914893617,1.59674796747967,1.724,12.9
123,415,"no","no",0,206.9,85,244.7,78,221.5,136,7.7,2,3,"False",2.43411764705882,3.13717948717949,1.62867647058824,3.85
91,510,"no","no",0,123.8,107,319,125,237.6,78,7.3,4,2,"False",1.15700934579439,2.552,3.04615384615385,1.825
42,510,"yes","no",0,260.9,94,152.8,123,212.6,94,11.1,4,1,"False",2.77553191489362,1.24227642276423,2.26170212765957,2.775
53,415,"no","no",0,57.5,95,265.5,131,244.3,128,11.6,6,3,"False",0.605263157894737,2.02671755725191,1.90859375,1.93333333333333
62,415,"yes","yes",32,218.4,93,236.7,132,192.2,137,13.2,3,0,"True",2.34838709677419,1.79318181818182,1.4029197080292,4.4
67,408,"no","no",0,167.8,91,167.7,69,110.3,71,8.4,12,1,"False",1.84395604395604,2.4304347826087,1.55352112676056,0.7
140,408,"no","no",0,194.8,107,170.9,99,225.1,93,13.9,4,0,"False",1.82056074766355,1.72626262626263,2.42043010752688,3.475
80,408,"no","no",0,142.9,70,221.6,83,121.4,111,15.2,4,1,"False",2.04142857142857,2.66987951807229,1.09369369369369,3.8
57,415,"no","yes",26,138.7,99,134.5,105,261.7,95,13,5,2,"False",1.4010101010101,1.28095238095238,2.75473684210526,2.6
162,408,"no","yes",26,179.7,144,218.1,129,212.3,105,9.3,8,1,"True",1.24791666666667,1.6906976744186,2.02190476190476,1.1625
57,415,"no","no",0,158.1,117,115.2,149,182.4,92,11.8,7,0,"False",1.35128205128205,0.773154362416107,1.98260869565217,1.68571428571429
86,415,"no","yes",32,70.9,163,166.7,121,244.9,105,11.1,5,3,"False",0.434969325153374,1.37768595041322,2.33238095238095,2.22
131,415,"no","no",0,166.5,129,210.2,107,257.2,93,9.9,5,1,"False",1.2906976744186,1.96448598130841,2.76559139784946,1.98
105,408,"no","no",0,147.7,103,222.7,78,163.5,102,12.8,3,2,"False",1.43398058252427,2.85512820512821,1.60294117647059,4.26666666666667
117,415,"yes","no",0,158.1,101,315.1,96,176.1,108,13.9,2,3,"True",1.56534653465347,3.28229166666667,1.63055555555556,6.95
98,415,"no","no",0,217.2,121,303.4,73,197.1,71,12.4,2,0,"True",1.79504132231405,4.15616438356164,2.77605633802817,6.2
92,408,"no","no",0,250.6,100,41.7,94,186.2,100,9.7,6,2,"False",2.506,0.443617021276596,1.862,1.61666666666667
124,415,"no","no",0,151.6,119,198.1,93,173.4,91,11.6,3,3,"False",1.27394957983193,2.13010752688172,1.90549450549451,3.86666666666667
65,415,"no","yes",21,135.1,120,238.4,90,286.4,93,11,9,4,"False",1.12583333333333,2.64888888888889,3.07956989247312,1.22222222222222
173,415,"no","no",0,191.4,114,168.5,138,109.3,99,10.3,3,1,"False",1.67894736842105,1.22101449275362,1.1040404040404,3.43333333333333
69,415,"no","no",0,243.3,101,109.2,99,176.9,138,9.3,3,0,"False",2.40891089108911,1.1030303030303,1.28188405797101,3.1
107,415,"no","yes",32,134.2,101,211.9,145,167.6,138,8.2,5,1,"False",1.32871287128713,1.46137931034483,1.21449275362319,1.64
113,408,"no","no",0,158.4,107,142.2,104,174.7,108,14.9,2,0,"False",1.4803738317757,1.36730769230769,1.61759259259259,7.45
84,408,"yes","no",0,299.4,71,61.9,88,196.9,89,6.6,7,2,"False",4.2169014084507,0.703409090909091,2.2123595505618,0.942857142857143
40,510,"no","no",0,109.4,107,244.7,102,276.9,123,7.1,7,0,"False",1.02242990654206,2.39901960784314,2.25121951219512,1.01428571428571
111,415,"no","no",0,255.9,97,204.1,129,171.3,84,12.3,5,3,"False",2.63814432989691,1.58217054263566,2.03928571428571,2.46
43,415,"no","no",0,179.3,97,252.7,126,227.5,114,8,5,0,"False",1.84845360824742,2.00555555555556,1.99561403508772,1.6
148,510,"no","no",0,203,92,150.9,125,245.5,131,14.6,9,1,"False",2.20652173913043,1.2072,1.87404580152672,1.62222222222222
70,415,"no","no",0,232.8,95,303.4,111,255.6,104,12.9,7,0,"True",2.45052631578947,2.73333333333333,2.45769230769231,1.84285714285714
69,510,"yes","no",0,279.8,90,248.7,91,171,118,8.4,10,2,"True",3.10888888888889,2.73296703296703,1.44915254237288,0.84
75,510,"no","yes",26,118.5,86,213.9,118,132.6,99,13.4,3,2,"False",1.37790697674419,1.81271186440678,1.33939393939394,4.46666666666667
106,415,"no","yes",30,220.1,105,222.2,109,158.4,96,13.1,8,0,"False",2.09619047619048,2.03853211009174,1.65,1.6375
104,408,"no","no",0,263.4,101,235.5,117,102,146,13,4,0,"False",2.60792079207921,2.01282051282051,0.698630136986301,3.25
93,510,"yes","no",0,172.4,133,205.6,77,245.8,126,9.1,9,1,"False",1.29624060150376,2.67012987012987,1.95079365079365,1.01111111111111
41,415,"no","no",0,159.3,66,125.9,75,261.9,76,11.1,5,1,"False",2.41363636363636,1.67866666666667,3.44605263157895,2.22
130,415,"no","no",0,213.1,105,206.2,108,163.4,93,8.9,3,0,"False",2.02952380952381,1.90925925925926,1.75698924731183,2.96666666666667
95,415,"no","no",0,186.4,85,173.4,100,294.7,73,9.1,5,1,"False",2.19294117647059,1.734,4.03698630136986,1.82
118,408,"no","no",0,160.3,110,53.2,92,130.7,119,10.5,4,0,"False",1.45727272727273,0.578260869565217,1.09831932773109,2.625
26,510,"no","no",0,150,63,225,90,202.3,99,9.2,5,3,"False",2.38095238095238,2.5,2.04343434343434,1.84
93,408,"no","no",0,267.9,114,223,74,262.7,90,11.3,3,3,"True",2.35,3.01351351351351,2.91888888888889,3.76666666666667
74,408,"no","no",0,165.3,120,198.5,106,208.5,102,9.8,3,1,"False",1.3775,1.87264150943396,2.04411764705882,3.26666666666667
143,510,"no","no",0,133.4,107,223.9,117,180.4,85,10.2,13,1,"False",1.24672897196262,1.91367521367521,2.12235294117647,0.784615384615385
69,415,"no","no",0,143.6,88,141.8,86,194,83,10.8,5,3,"False",1.63181818181818,1.64883720930233,2.33734939759036,2.16
61,415,"yes","yes",29,128.2,119,171.7,83,250.9,114,11.7,6,3,"False",1.07731092436975,2.06867469879518,2.20087719298246,1.95
179,408,"no","no",0,234.5,134,164.2,94,191.4,72,6.1,4,1,"False",1.75,1.7468085106383,2.65833333333333,1.525
143,510,"no","no",0,110.1,113,169,59,166.7,94,9.2,2,1,"False",0.974336283185841,2.86440677966102,1.77340425531915,4.6
74,408,"no","no",0,176.1,79,208.3,105,237.5,86,16.1,4,4,"False",2.22911392405063,1.98380952380952,2.76162790697674,4.025
11,415,"no","yes",28,190.6,86,220.1,122,180.3,80,6,3,3,"False",2.21627906976744,1.80409836065574,2.25375,2
34,415,"no","no",0,193.7,74,126.9,84,221.2,166,8.8,4,0,"False",2.61756756756757,1.51071428571429,1.33253012048193,2.2
138,415,"no","no",0,230.1,107,212,120,174.9,119,13.2,4,1,"False",2.15046728971963,1.76666666666667,1.46974789915966,3.3
72,415,"no","no",0,166.5,102,261,103,262.7,85,13.3,5,0,"False",1.63235294117647,2.53398058252427,3.09058823529412,2.66
84,510,"no","no",0,226.9,144,201.6,122,130.2,121,13.2,5,2,"False",1.57569444444444,1.65245901639344,1.07603305785124,2.64
139,415,"no","yes",25,138.3,96,80.6,79,163.7,83,8.3,8,0,"False",1.440625,1.02025316455696,1.97228915662651,1.0375
99,510,"no","no",0,214.9,103,218.4,121,272.6,110,9.6,3,2,"False",2.08640776699029,1.80495867768595,2.47818181818182,3.2
54,415,"no","yes",33,161.8,73,273,58,153.9,76,13.7,4,0,"False",2.21643835616438,4.70689655172414,2.025,3.425
56,415,"no","no",0,79.3,115,159,64,245.7,99,10.1,4,1,"False",0.689565217391304,2.484375,2.48181818181818,2.525
117,415,"no","yes",35,190.7,100,209.7,107,202.5,101,12.4,5,1,"False",1.907,1.95981308411215,2.0049504950495,2.48
83,510,"no","no",0,208.9,71,214.8,92,247.9,108,13,5,1,"False",2.94225352112676,2.33478260869565,2.29537037037037,2.6
82,415,"no","no",0,130,110,185.3,88,178.7,105,8.3,4,0,"False",1.18181818181818,2.10568181818182,1.70190476190476,2.075
78,510,"no","no",0,190.3,88,194.5,89,256.5,109,11.7,5,2,"False",2.1625,2.18539325842697,2.35321100917431,2.34
57,415,"no","no",0,198.1,89,214.2,105,109.5,106,7,3,1,"False",2.22584269662921,2.04,1.03301886792453,2.33333333333333
76,415,"yes","no",0,273.3,66,263.6,121,165.2,84,12,7,1,"True",4.14090909090909,2.17851239669422,1.96666666666667,1.71428571428571
74,415,"no","no",0,85.7,83,247.7,67,142.4,85,10.1,5,2,"False",1.03253012048193,3.69701492537313,1.67529411764706,2.02
15,415,"no","no",0,185.1,103,193.8,148,305.2,79,13.2,6,5,"False",1.79708737864078,1.30945945945946,3.86329113924051,2.2
163,415,"no","no",0,241.6,102,138.9,100,148.8,129,9.8,6,1,"False",2.36862745098039,1.389,1.15348837209302,1.63333333333333
96,415,"no","no",0,97.6,98,105.5,118,220.2,105,11.6,9,1,"False",0.995918367346939,0.894067796610169,2.09714285714286,1.28888888888889
55,510,"yes","no",0,106.1,77,123.5,100,96.4,92,12.9,3,0,"False",1.37792207792208,1.235,1.04782608695652,4.3
91,415,"no","no",0,289.3,73,179.8,86,186.7,94,6.4,7,1,"True",3.96301369863014,2.0906976744186,1.98617021276596,0.914285714285714
141,510,"no","yes",28,308,123,247.8,128,152.9,103,7.4,3,1,"False",2.50406504065041,1.9359375,1.48446601941748,2.46666666666667
113,408,"no","yes",20,157.8,83,161.5,56,271.5,100,8.7,2,5,"True",1.90120481927711,2.88392857142857,2.715,4.35
148,510,"no","no",0,216.2,95,185.7,105,300,143,10,5,2,"False",2.27578947368421,1.76857142857143,2.0979020979021,2
70,408,"no","no",0,148.4,110,267.1,90,151.5,101,8.9,4,0,"False",1.34909090909091,2.96777777777778,1.5,2.225
72,510,"no","no",0,272.4,88,107.9,125,185.5,81,12.7,2,0,"False",3.09545454545455,0.8632,2.29012345679012,6.35
134,408,"no","no",0,205.3,122,240.5,155,179.1,107,5,9,1,"False",1.6827868852459,1.55161290322581,1.67383177570093,0.555555555555556
93,415,"no","no",0,176.1,103,199.7,130,263.9,96,8.5,6,2,"False",1.70970873786408,1.53615384615385,2.74895833333333,1.41666666666667
222,415,"no","no",0,256.6,119,230.8,98,236,97,12.2,5,1,"True",2.1563025210084,2.35510204081633,2.43298969072165,2.44
101,415,"no","yes",29,121.1,116,186.4,100,241.7,75,10.1,6,0,"False",1.04396551724138,1.864,3.22266666666667,1.68333333333333
135,510,"no","no",0,246.8,129,187.8,121,154.5,109,12.6,5,1,"False",1.91317829457364,1.55206611570248,1.41743119266055,2.52
137,510,"no","no",0,147.2,119,192.8,91,172.7,105,10.2,4,1,"False",1.23697478991597,2.11868131868132,1.6447619047619,2.55
115,415,"yes","yes",6,140.1,125,157.9,100,249.4,96,10.1,3,1,"False",1.1208,1.579,2.59791666666667,3.36666666666667
132,415,"no","yes",25,113.2,96,269.9,107,229.1,87,7.1,7,2,"False",1.17916666666667,2.52242990654206,2.63333333333333,1.01428571428571
133,415,"no","no",0,171.8,64,177.1,83,223,96,10.3,4,1,"False",2.684375,2.13373493975904,2.32291666666667,2.575
142,510,"no","yes",22,224.4,114,146,106,241.4,98,8.8,2,1,"False",1.96842105263158,1.37735849056604,2.46326530612245,4.4
78,408,"no","no",0,226.3,88,306.2,81,200.9,120,7.8,11,1,"True",2.57159090909091,3.78024691358025,1.67416666666667,0.709090909090909
125,408,"no","no",0,113,108,169.2,107,156.6,61,9.2,5,2,"True",1.0462962962963,1.58130841121495,2.5672131147541,1.84
93,510,"yes","no",0,168.4,114,276,127,196.2,48,11.4,3,1,"False",1.47719298245614,2.17322834645669,4.0875,3.8
68,510,"no","no",0,141.9,112,166.2,94,223.5,77,9.2,6,1,"False",1.26696428571429,1.76808510638298,2.9025974025974,1.53333333333333
128,415,"no","no",0,140.3,108,235.3,111,200.8,57,11.8,6,1,"False",1.29907407407407,2.11981981981982,3.52280701754386,1.96666666666667
139,510,"no","no",0,196.9,58,137.1,91,216.6,101,9.8,3,1,"False",3.3948275862069,1.50659340659341,2.14455445544554,3.26666666666667
43,415,"no","no",0,199.9,108,288.4,80,180.6,103,11.3,7,1,"False",1.85092592592593,3.605,1.75339805825243,1.61428571428571
51,415,"no","no",0,183.1,99,160.1,107,311.8,121,7,3,1,"False",1.84949494949495,1.49626168224299,2.57685950413223,2.33333333333333
124,415,"no","yes",30,144.5,35,262.3,101,226.5,82,12,7,2,"False",4.12857142857143,2.5970297029703,2.76219512195122,1.71428571428571
52,408,"no","no",0,191.9,108,269.8,96,236.8,87,7.8,5,3,"False",1.77685185185185,2.81041666666667,2.72183908045977,1.56
109,415,"no","yes",27,166.9,85,221.2,92,197.3,97,12.3,4,1,"True",1.96352941176471,2.40434782608696,2.0340206185567,3.075
118,408,"no","no",0,178.4,81,182.7,119,251.4,109,10.8,2,1,"False",2.20246913580247,1.53529411764706,2.30642201834862,5.4
159,415,"no","no",0,189.1,105,246.1,147,242,106,10.4,5,1,"True",1.80095238095238,1.67414965986395,2.28301886792453,2.08
47,408,"no","yes",28,112.2,70,154.8,106,166.7,105,10.6,2,0,"False",1.60285714285714,1.46037735849057,1.58761904761905,5.3
151,415,"yes","no",0,218,57,114.4,88,269.2,95,12.4,1,0,"True",3.82456140350877,1.3,2.83368421052632,12.4
88,415,"yes","no",0,235.1,98,251.8,79,285.9,76,7.2,2,4,"True",2.39897959183673,3.1873417721519,3.76184210526316,3.6
59,415,"no","no",0,119,119,134.5,115,298.6,75,9,6,2,"True",1,1.1695652173913,3.98133333333333,1.5
100,415,"yes","no",0,156.3,82,259.4,91,143.7,93,8.3,7,5,"False",1.90609756097561,2.85054945054945,1.54516129032258,1.18571428571429
89,415,"no","no",0,326.3,112,165.1,110,162.9,97,7.5,1,1,"True",2.91339285714286,1.50090909090909,1.67938144329897,7.5
56,415,"no","no",0,162.3,99,149.1,78,255.5,115,14.8,1,4,"True",1.63939393939394,1.91153846153846,2.22173913043478,14.8
48,510,"no","no",0,188.4,63,165.9,89,205.7,71,13.2,2,1,"False",2.99047619047619,1.86404494382022,2.89718309859155,6.6
165,415,"no","no",0,216.6,126,190.8,104,224.7,123,12.4,8,0,"False",1.71904761904762,1.83461538461538,1.82682926829268,1.55
91,415,"no","no",0,153,123,141.1,127,171.5,76,10.3,15,1,"True",1.24390243902439,1.11102362204724,2.25657894736842,0.686666666666667
84,408,"no","yes",30,106.5,65,225.7,108,188.6,61,5.7,3,2,"False",1.63846153846154,2.08981481481481,3.09180327868852,1.9
139,510,"no","yes",25,96.2,112,178.9,70,182.1,84,12.9,10,2,"False",0.858928571428571,2.55571428571429,2.16785714285714,1.29
89,415,"no","no",0,89.7,80,179.8,81,145.7,120,9.5,4,2,"False",1.12125,2.21975308641975,1.21416666666667,2.375
161,415,"no","no",0,178.1,109,146.5,86,137.6,78,8.5,2,1,"False",1.63394495412844,1.70348837209302,1.76410256410256,4.25
183,415,"no","yes",31,171.2,104,193.6,74,196.5,85,10.2,4,1,"False",1.64615384615385,2.61621621621622,2.31176470588235,2.55
102,408,"no","no",0,174.5,73,213.7,114,164.7,116,10.3,5,4,"False",2.39041095890411,1.87456140350877,1.4198275862069,2.06
35,408,"no","no",0,138.1,115,158.2,82,215.7,118,10.3,2,5,"True",1.20086956521739,1.92926829268293,1.82796610169492,5.15
156,408,"yes","no",0,277,119,238.3,106,94.4,96,8.3,3,1,"False",2.32773109243697,2.24811320754717,0.983333333333333,2.76666666666667
109,415,"yes","no",0,268.4,85,150.6,131,297.9,84,9.7,8,2,"True",3.15764705882353,1.14961832061069,3.54642857142857,1.2125
155,510,"no","no",0,71.2,90,304.4,119,183.3,103,8.6,4,0,"False",0.791111111111111,2.55798319327731,1.77961165048544,2.15
90,415,"no","no",0,68.8,124,168.1,106,281.7,96,9.8,5,1,"False",0.554838709677419,1.58584905660377,2.934375,1.96
124,415,"no","no",0,167.4,119,233.2,143,109.6,115,10.3,5,0,"False",1.40672268907563,1.63076923076923,0.95304347826087,2.06
84,510,"no","no",0,169.5,96,157.6,94,98.2,70,10.6,7,0,"False",1.765625,1.67659574468085,1.40285714285714,1.51428571428571
144,415,"no","no",0,139.6,96,124.2,93,95.6,75,15,4,2,"False",1.45416666666667,1.33548387096774,1.27466666666667,3.75
142,408,"no","no",0,216.8,134,187.8,106,138.1,108,8.3,2,0,"False",1.61791044776119,1.77169811320755,1.2787037037037,4.15
128,408,"no","no",0,158.8,75,264.8,91,270,77,7.6,7,1,"False",2.11733333333333,2.90989010989011,3.50649350649351,1.08571428571429
193,415,"no","no",0,180.5,114,117.9,80,192.9,97,10.2,4,2,"False",1.58333333333333,1.47375,1.98865979381443,2.55
78,510,"no","no",0,140,84,216.8,73,224.5,102,9,6,2,"False",1.66666666666667,2.96986301369863,2.20098039215686,1.5
33,408,"no","no",0,251.9,81,194.6,96,211.2,87,8.4,3,2,"False",3.10987654320988,2.02708333333333,2.42758620689655,2.8
46,415,"no","no",0,122.2,67,167.2,62,194.8,98,9.7,6,1,"False",1.82388059701493,2.69677419354839,1.98775510204082,1.61666666666667
160,415,"no","yes",29,164.6,121,262.8,108,123.8,131,15.2,4,1,"False",1.3603305785124,2.43333333333333,0.945038167938931,3.8
190,408,"no","no",0,182.2,101,212.3,95,233,123,9.3,4,2,"False",1.8039603960396,2.23473684210526,1.89430894308943,2.325
87,408,"no","no",0,129.5,104,194,133,287.9,65,7.2,7,2,"False",1.24519230769231,1.45864661654135,4.42923076923077,1.02857142857143
27,408,"no","no",0,82.6,105,204,99,224.2,122,9.1,4,1,"False",0.786666666666667,2.06060606060606,1.83770491803279,2.275
100,408,"no","no",0,239.1,96,180.1,110,259.2,112,14,2,0,"False",2.490625,1.63727272727273,2.31428571428571,7
163,408,"no","no",0,223,120,227,98,188.3,125,8.8,5,1,"False",1.85833333333333,2.31632653061224,1.5064,1.76
113,408,"yes","no",0,122.4,98,223.8,116,267.5,148,11.6,5,3,"False",1.24897959183673,1.92931034482759,1.80743243243243,2.32
51,415,"no","no",0,229.7,129,336,104,192.8,128,9.6,1,1,"True",1.78062015503876,3.23076923076923,1.50625,9.6
126,408,"no","yes",24,58.9,125,305.5,90,158.9,73,12.1,6,0,"False",0.4712,3.39444444444444,2.17671232876712,2.01666666666667
106,415,"no","no",0,212.9,110,187,69,128.1,71,6.3,3,3,"False",1.93545454545455,2.71014492753623,1.80422535211268,2.1
3,510,"no","yes",27,67.4,116,244,78,281.1,93,11.4,2,2,"False",0.581034482758621,3.12820512820513,3.02258064516129,5.7
142,415,"no","yes",38,163.3,104,136,114,249.1,127,4.3,6,0,"False",1.57019230769231,1.19298245614035,1.96141732283465,0.716666666666667
58,408,"no","no",0,187.6,113,217.4,115,139.7,92,9.8,5,3,"False",1.66017699115044,1.8904347826087,1.51847826086957,1.96
135,415,"no","yes",45,241.4,102,206.4,78,196.6,104,9.4,6,0,"False",2.36666666666667,2.64615384615385,1.89038461538462,1.56666666666667
121,408,"no","no",0,207.9,98,210.5,96,109.6,114,7.7,2,2,"False",2.12142857142857,2.19270833333333,0.96140350877193,3.85
56,415,"no","no",0,137.2,111,165.9,119,182.3,72,14.3,4,1,"False",1.23603603603604,1.39411764705882,2.53194444444444,3.575
84,408,"no","no",0,163.7,123,175,93,194,115,8,5,1,"False",1.33089430894309,1.88172043010753,1.68695652173913,1.6
84,415,"no","no",0,225.9,86,275.6,105,201.4,108,14.3,3,3,"True",2.62674418604651,2.6247619047619,1.86481481481481,4.76666666666667
123,415,"no","no",0,132.6,100,198.8,102,168.9,105,0,0,1,"False",1.326,1.94901960784314,1.60857142857143,NA
56,415,"no","yes",29,37.7,115,144.1,111,226.6,101,4.9,3,1,"False",0.327826086956522,1.2981981981982,2.24356435643564,1.63333333333333
71,510,"no","no",0,238,82,278.5,94,193.1,134,11.8,10,0,"True",2.90243902439024,2.96276595744681,1.4410447761194,1.18
54,415,"no","no",0,247.5,85,225.4,93,244.3,132,10.2,2,2,"True",2.91176470588235,2.42365591397849,1.85075757575758,5.1
133,415,"no","no",0,173.1,126,200,98,231,103,10.8,1,1,"False",1.37380952380952,2.04081632653061,2.24271844660194,10.8
186,510,"no","no",0,137.8,97,187.7,118,146.4,85,8.7,6,1,"False",1.42061855670103,1.59067796610169,1.72235294117647,1.45
31,415,"no","no",0,177.3,129,152.8,105,162.9,92,5.1,2,0,"False",1.37441860465116,1.4552380952381,1.77065217391304,2.55
133,415,"no","no",0,226.8,87,127.9,93,160.1,89,9.2,3,0,"False",2.60689655172414,1.3752688172043,1.79887640449438,3.06666666666667
